HPI,ISO,year
39.8,VEN,2014
32.9,MRT,2014
20.8,CIV,2014
38.9,EGY,2014
31.7,USA,2014
39,BOL,2014
36.1,MMR,2014
19.7,GIN,2014
25.2,UGA,2014
34.7,KEN,2014
28.7,NER,2014
29.2,SGP,2014
0,LAO,2014
28.1,MDG,2014
28,KAZ,2014
25.6,ZAF,2014
26.2,SAU,2014
30.4,IRN,2014
20.4,BEN,2014
20.4,BFA,2014
25.3,TZA,2014
31.3,LBR,2014
29.2,RWA,2014
37.3,IND,2014
32,RUS,2014
28.5,HTI,2014
32.7,MWI,2014
32.5,YEM,2014
23.8,ARE,2014
15.8,TGO,2014
23.9,HKG,2014
26.7,TKM,2014
28.7,COD,2014
0,TTO,2014
21.8,LUX,2014
26.8,SLE,2014
24.8,KWT,2014
21.2,MLI,2014
22.6,NAM,2014
23.3,NGA,2014
23.3,MNG,2014
27,ZWE,2014
43.3,LBN,2014
27.9,ZMB,2014
0,QAT,2014
14,TCD,2014
22.5,AFG,2014
0,LSO,2014
17,BWA,2014
0,CAF,2014
0,BDI,2013
33.6,SDN,2013
50.9,VUT,2013
52.7,SWE,2013
55.5,SLV,2013
63.4,CRI,2013
50.6,NIC,2013
47,DNK,2013
49,ESP,2013
55.8,PAN,2013
48.9,FRA,2013
53.4,CHL,2013
42.6,PRT,2013
49.9,MDA,2013
42,HND,2013
48,NLD,2013
47.8,NOR,2013
52.7,GTM,2013
42.7,FIN,2013
44.8,ITA,2013
44.9,GBR,2013
39.9,ROU,2013
43.9,PHL,2013
45.4,ISR,2013
36,GRC,2013
40.3,SVN,2013
45.8,HRV,2013
50.5,THA,2013
42.6,TJK,2013
42,IRL,2013
53.2,DZA,2013
41,DOM,2013
51.3,PER,2013
44.6,CZE,2013
43.5,ALB,2013
54.9,BRA,2013
42.9,DEU,2013
44,VNM,2013
45.9,AUT,2013
43.5,MAR,2013
51,ECU,2013
44.9,JAM,2013
48,ARG,2013
42.1,NZL,2013
56.1,MEX,2013
39.9,UZB,2013
37,ARM,2013
36,HUN,2013
57.3,COL,2013
40.1,CHE,2013
38.6,JPN,2013
43.7,BTN,2013
38.5,CHN,2013
40.4,MKD,2013
40.2,KGZ,2013
40.7,TWN,2013
35.9,LTU,2013
38,SVK,2013
42.3,LKA,2013
38.9,ISL,2013
38.4,POL,2013
43,IDN,2013
0,MUS,2013
39.7,URY,2013
37.1,BHR,2013
38.9,BIH,2013
28.7,SEN,2013
35.2,AUS,2013
38.2,MLT,2013
42.5,BGD,2013
36.7,MYS,2013
34.3,LVA,2013
0,LBY,2013
36.8,BEL,2013
40.8,BLR,2013
47.1,TUN,2013
29.8,EST,2013
36.3,KOR,2013
30.6,BGR,2013
39.1,NPL,2013
36.6,CAN,2013
34.9,GEO,2013
32.3,CYP,2013
31.5,UKR,2013
30.9,KHM,2013
34.2,MNE,2013
27.7,COG,2013
31.8,SRB,2013
22.9,GAB,2013
38.5,AZE,2013
34.7,ETH,2013
40.8,PRY,2013
37.6,TUR,2013
39.5,PAK,2013
30,IRQ,2013
26.6,CMR,2013
0,MOZ,2013
36.1,GHA,2013
42.2,JOR,2013
43.5,VEN,2013
30.5,MRT,2013
21.6,CIV,2013
28.7,EGY,2013
32.1,USA,2013
38.5,BOL,2013
31.6,MMR,2013
23.1,GIN,2013
24.2,UGA,2013
25.9,KEN,2013
24.7,NER,2013
